,AC-like,Endothelial,MES-like,Mono,Mural cell,NPC-like,OPC-like,TAM-BDM,TAM-MG
Spotx579,0,1,0,1,1,1,0,0,0
Spotx580,1,1,1,0,1,1,0,1,1
Spotx581,1,1,0,0,1,1,1,0,1
Spotx582,1,1,1,1,0,1,1,1,1
Spotx583,0,0,1,0,0,1,0,0,0
Spotx584,1,0,0,1,0,0,0,0,1
Spotx585,1,0,1,0,0,0,0,1,0
Spotx586,1,1,0,1,1,0,0,1,0
Spotx587,0,0,0,0,0,0,0,1,1
Spotx588,1,1,1,0,1,0,0,0,1
Spotx589,0,1,1,0,0,0,0,0,0
Spotx590,0,0,0,0,1,0,1,0,0
Spotx591,1,0,0,1,1,0,0,0,1
Spotx592,1,1,0,0,1,0,0,1,0
Spotx593,1,0,1,0,1,0,0,0,0
Spotx594,1,1,1,0,1,1,0,1,0
Spotx595,0,1,0,1,0,1,0,0,0
Spotx596,0,0,1,1,1,1,0,1,0
Spotx597,1,0,0,1,0,1,1,1,1
Spotx598,1,0,0,1,0,0,0,0,0
Spotx599,1,1,0,1,1,0,1,0,0
Spotx600,0,1,0,0,0,1,0,0,1
Spotx601,1,1,0,0,0,0,1,0,1
Spotx602,0,0,0,0,0,0,1,1,1
Spotx603,1,0,0,1,0,0,0,1,0
Spotx604,0,0,0,0,0,0,0,0,1
Spotx605,0,0,0,1,0,0,0,0,0
Spotx606,1,1,0,0,1,0,1,0,1
Spotx607,0,0,1,0,0,0,0,1,0
Spotx608,0,1,1,1,0,0,1,0,1
Spotx609,0,0,0,0,1,0,0,0,1
Spotx610,0,1,1,0,0,0,0,1,0
Spotx611,1,0,0,1,0,0,0,0,0
Spotx612,0,1,0,1,1,1,1,1,0
Spotx613,0,0,1,0,0,1,0,0,0
Spotx614,0,0,1,0,0,1,0,0,1
Spotx615,0,0,0,1,0,0,0,1,0
Spotx616,1,1,1,0,1,0,1,1,1
Spotx617,0,0,0,0,1,1,0,1,0
Spotx618,1,1,1,0,1,1,0,0,0
Spotx619,0,1,1,1,1,0,0,1,0
Spotx620,0,0,0,0,0,0,0,0,1
Spotx621,0,1,1,1,1,1,1,1,1
Spotx622,0,0,0,0,0,0,0,1,1
Spotx623,1,0,0,0,1,1,1,0,1
Spotx624,0,0,0,1,0,1,0,0,0
Spotx625,0,0,1,0,0,0,1,1,0
Spotx626,0,1,1,1,1,1,0,0,0
Spotx627,0,0,0,1,0,1,0,0,0
Spotx628,0,0,1,1,0,0,0,0,0
Spotx629,0,0,0,0,0,0,0,0,1
Spotx630,1,0,1,0,1,0,1,1,0
Spotx631,1,1,1,0,0,0,1,0,1
Spotx632,0,0,0,0,0,1,0,1,0
Spotx633,1,0,0,0,0,0,0,1,0
Spotx634,1,1,1,0,1,0,0,0,1
Spotx635,1,0,0,0,0,0,0,0,0
Spotx636,0,0,0,0,1,0,1,0,0
Spotx637,0,0,0,0,1,0,0,1,0
Spotx638,1,0,0,0,1,0,1,0,1
Spotx639,0,0,0,0,0,0,0,1,0
Spotx640,1,0,1,0,0,1,1,1,1
Spotx641,0,0,0,0,0,0,1,0,0
Spotx642,0,1,1,1,0,1,0,1,0
Spotx643,1,1,0,0,1,1,0,1,1
Spotx644,1,0,0,1,1,1,1,0,1
Spotx645,0,0,0,0,0,0,1,0,0
Spotx646,0,0,1,1,0,0,0,0,0
Spotx647,0,1,0,1,0,0,1,1,0
Spotx648,1,1,0,0,1,0,0,0,0
Spotx649,0,1,0,0,0,1,1,0,0
Spotx650,1,0,1,0,0,0,1,0,0
Spotx651,1,1,0,0,1,0,1,0,1
Spotx652,0,1,1,1,0,1,0,0,0
Spotx653,1,0,1,1,1,0,1,1,0
Spotx654,0,1,1,1,1,1,1,1,1
Spotx655,0,0,0,0,1,0,0,0,1
Spotx656,0,1,0,0,1,0,0,0,1
Spotx657,1,1,1,1,0,1,1,0,1
Spotx658,0,0,0,1,1,1,1,0,1
Spotx659,1,0,1,1,0,1,0,1,1
Spotx660,0,1,0,0,1,0,0,0,1
Spotx661,0,0,0,1,0,1,0,0,0
Spotx662,1,1,1,1,1,0,0,0,1
Spotx663,0,0,0,0,0,1,1,1,0
Spotx664,1,0,0,1,0,0,1,1,1
Spotx665,1,1,0,0,1,0,0,1,1
Spotx666,0,1,1,0,0,0,0,0,0
Spotx667,0,0,1,0,0,0,0,0,0
Spotx668,0,0,0,0,1,0,0,0,1
Spotx669,0,0,0,0,0,0,1,0,0
Spotx670,0,0,0,0,1,0,0,1,0
Spotx671,0,1,0,0,1,1,0,1,1
Spotx672,0,1,0,0,0,0,1,0,1
Spotx673,0,0,1,1,0,1,0,1,0
Spotx674,0,0,0,1,1,1,1,0,0
Spotx675,0,1,1,0,1,0,0,0,0
Spotx676,1,0,1,1,1,0,0,1,1
Spotx677,1,1,0,0,1,0,0,1,0
Spotx678,1,0,0,0,1,1,0,0,0
Spotx679,0,0,0,1,1,0,0,1,1
Spotx680,1,1,0,0,0,1,1,1,0
Spotx681,0,0,0,1,0,1,0,0,1
Spotx682,0,0,0,1,0,0,0,1,0
Spotx683,0,1,0,1,1,0,0,1,0
Spotx684,0,0,0,0,1,1,1,0,0
Spotx685,1,1,1,1,1,0,0,1,0
Spotx686,0,0,1,0,1,0,0,0,0
Spotx687,0,1,1,0,0,0,0,1,1
Spotx688,0,0,0,0,0,1,0,1,0
Spotx689,0,0,0,0,1,0,0,0,0
Spotx690,1,0,0,1,1,1,0,0,0
Spotx691,1,1,0,1,0,1,0,0,1
Spotx692,1,1,0,0,1,0,1,0,0
Spotx693,1,0,0,0,0,0,0,0,0
Spotx694,0,1,1,1,1,1,0,1,1
Spotx695,0,0,1,1,0,1,1,0,0
Spotx696,1,1,1,1,1,1,1,0,0
Spotx697,0,0,1,1,0,0,0,0,1
Spotx698,0,0,0,0,1,0,0,1,0
Spotx699,1,1,1,0,0,1,0,1,1
Spotx700,0,0,0,1,0,0,0,1,1
Spotx701,0,0,0,1,0,0,1,0,1
Spotx702,0,1,0,0,0,0,1,0,0
Spotx703,1,1,1,0,0,0,0,1,0
Spotx704,0,0,1,1,1,1,0,0,0
Spotx705,0,1,0,1,1,1,0,0,1
Spotx706,0,1,0,0,0,0,0,1,1
Spotx707,1,1,1,1,1,0,1,0,1
Spotx708,1,0,0,1,0,0,0,0,1
Spotx709,1,1,1,0,0,1,1,0,0
Spotx710,0,0,1,0,0,0,0,0,0
Spotx711,0,0,0,0,0,0,1,1,0
Spotx712,0,0,1,0,1,1,1,0,1
Spotx713,0,0,0,1,1,1,0,0,0
Spotx714,0,1,0,0,0,0,0,0,0
Spotx715,1,0,0,0,0,1,1,0,0
Spotx716,1,0,0,0,0,0,1,0,0
Spotx717,0,0,0,1,0,0,0,0,0
Spotx718,0,0,0,0,1,0,1,0,1
Spotx719,0,0,1,0,0,0,0,0,0
Spotx720,1,0,0,1,0,1,1,1,1
Spotx721,1,1,0,0,0,1,1,1,0
Spotx722,0,1,0,0,0,0,1,0,1
Spotx723,0,0,0,1,0,0,0,0,1
Spotx724,0,1,1,0,0,0,0,1,0
Spotx725,0,0,0,1,1,0,0,1,0
Spotx726,1,0,1,0,0,1,1,0,0
Spotx727,1,1,0,0,0,0,0,1,1
Spotx728,1,0,0,0,0,0,1,1,0
Spotx729,1,0,1,1,0,1,1,0,1
Spotx730,0,0,0,0,0,0,1,0,0
Spotx731,1,1,1,0,1,0,1,1,1
Spotx732,0,0,1,1,0,0,0,1,1
Spotx733,0,0,0,0,0,0,1,0,1
Spotx734,0,0,0,1,1,0,1,1,1
Spotx735,0,0,0,1,1,0,0,1,0
Spotx736,0,0,0,1,0,0,0,0,0
Spotx737,0,1,0,0,0,0,0,0,1
Spotx738,0,0,0,1,0,0,0,0,0
Spotx739,0,1,0,0,1,0,0,0,1
Spotx740,0,0,1,1,1,0,1,0,1
Spotx741,1,1,1,0,1,1,1,1,0
Spotx742,0,0,0,0,1,0,0,0,1
Spotx743,0,1,0,1,1,0,0,0,0
Spotx744,1,0,0,1,1,1,0,1,1
Spotx745,1,1,0,1,0,0,0,1,0
Spotx746,0,0,0,1,0,0,1,0,0
Spotx747,0,0,0,0,1,1,0,0,0
Spotx748,0,1,1,0,1,0,1,0,1
Spotx749,1,1,1,1,0,0,1,1,0
Spotx750,1,1,0,1,1,0,0,0,1
Spotx751,0,0,1,0,0,0,1,0,0
Spotx752,0,0,0,1,0,1,1,0,1
Spotx753,1,1,0,1,0,1,1,1,0
Spotx754,0,1,1,0,1,0,1,0,1
Spotx755,1,0,0,1,1,0,1,0,0
Spotx756,1,1,0,0,0,0,0,1,1
Spotx757,0,1,1,1,0,1,0,0,1
Spotx758,0,0,1,1,1,0,1,1,0
Spotx759,0,0,1,1,1,0,1,0,1
Spotx760,1,1,1,1,1,1,1,1,1
Spotx761,0,0,1,0,0,0,1,0,0
Spotx762,1,0,0,0,0,0,0,0,1
Spotx763,1,0,0,1,0,1,1,1,1
Spotx764,0,1,0,0,0,0,0,0,1
Spotx765,1,1,1,1,0,0,0,1,0
Spotx766,0,0,1,0,1,0,1,1,1
Spotx767,0,0,1,0,1,0,1,0,0
Spotx768,1,0,1,0,0,0,0,0,0
Spotx769,1,0,0,1,1,0,1,1,0
Spotx770,1,1,1,1,0,1,0,1,1
Spotx771,0,1,0,0,0,0,0,0,0
Spotx772,1,0,1,0,1,0,0,0,1
Spotx773,0,0,0,0,0,0,1,1,0
Spotx774,0,1,1,0,1,0,0,0,0
Spotx775,0,1,0,0,0,0,0,1,0
Spotx776,0,0,1,0,1,0,1,0,0
Spotx777,0,0,0,0,1,0,1,0,1
Spotx778,1,0,0,0,1,1,0,0,0
Spotx779,0,0,0,0,0,0,1,0,0
Spotx780,0,1,0,0,1,0,1,1,0
Spotx781,0,0,1,0,1,0,1,0,1
Spotx782,1,0,0,1,1,0,0,0,0
Spotx783,0,1,0,0,1,0,0,0,1
Spotx784,0,1,1,0,0,0,1,0,0
Spotx785,0,0,0,0,0,1,0,1,0
Spotx786,0,1,0,0,1,0,0,0,0
Spotx787,0,0,0,0,0,0,1,0,0
Spotx788,0,1,1,1,1,1,0,0,0
Spotx789,0,1,1,1,0,1,0,0,0
Spotx790,0,1,1,0,0,1,1,0,1
Spotx791,0,0,0,0,0,0,0,1,1
Spotx792,0,1,0,0,0,1,1,1,0
Spotx793,0,0,0,1,0,0,1,0,1
Spotx794,0,0,0,0,0,1,1,0,0
Spotx795,1,0,1,1,0,0,1,0,0
Spotx796,1,0,1,0,0,0,1,0,0
Spotx797,0,0,0,1,1,1,0,1,1
Spotx798,0,1,1,0,0,0,0,1,0
Spotx799,0,1,1,1,0,0,0,1,0
Spotx800,0,0,0,1,1,1,0,1,1
Spotx801,0,1,0,1,0,0,1,0,1
Spotx802,0,0,0,0,0,0,1,0,0
Spotx803,1,0,0,0,1,1,1,1,0
Spotx804,1,0,0,0,0,0,0,0,0
Spotx805,1,1,1,1,1,1,0,1,1
Spotx806,0,1,0,0,1,0,1,0,0
Spotx807,1,1,0,0,0,0,0,0,0
Spotx808,0,0,0,0,0,1,1,0,0
Spotx809,0,0,0,0,0,0,0,0,1
Spotx810,0,1,1,0,0,0,0,0,0
Spotx811,0,0,1,1,0,0,1,0,0
Spotx812,0,0,0,0,0,0,0,1,0
Spotx813,1,1,0,1,1,0,0,1,1
Spotx814,0,0,1,1,0,0,0,0,0
Spotx815,0,1,1,1,1,1,0,1,0
Spotx816,1,1,0,0,0,0,0,0,0
Spotx817,0,1,1,0,1,0,1,1,1
Spotx818,0,0,1,1,0,1,1,0,0
Spotx819,1,1,0,0,1,1,0,0,0
Spotx820,0,0,1,0,0,1,0,0,1
Spotx821,1,1,0,0,1,0,0,0,0
Spotx822,1,0,0,0,0,1,0,0,0
Spotx823,0,1,1,1,0,1,0,1,0
Spotx824,0,1,0,0,0,1,0,1,0
Spotx825,1,0,0,0,1,0,0,1,1
Spotx826,1,0,1,0,0,0,0,0,0
Spotx827,0,0,0,0,1,0,1,0,0
Spotx828,0,0,1,1,1,1,1,0,0
Spotx829,0,1,0,1,0,0,0,0,0
Spotx830,0,0,0,1,0,0,0,0,0
Spotx831,0,1,1,1,0,1,1,1,1
Spotx832,0,1,0,1,0,1,0,0,1
Spotx833,1,0,1,1,0,1,0,1,0
Spotx834,0,0,0,0,0,0,1,1,1
Spotx835,1,0,0,1,0,0,0,1,0
Spotx836,1,1,0,0,0,1,0,0,1
Spotx837,1,1,1,1,1,0,0,1,1
Spotx838,1,1,0,1,0,0,1,0,0
Spotx839,0,1,0,0,1,0,0,0,0
Spotx840,0,0,1,1,0,0,0,0,1
Spotx841,1,1,0,0,1,0,0,1,0
Spotx842,0,1,0,0,0,0,0,0,0
Spotx843,0,0,0,0,0,0,1,0,1
Spotx844,0,1,0,1,1,0,0,1,0
Spotx845,0,0,0,1,1,1,0,0,0
Spotx846,1,0,0,0,0,1,0,1,1
Spotx847,0,0,1,1,0,1,1,0,0
Spotx848,1,0,1,1,0,1,1,1,1
Spotx849,1,0,1,0,0,0,1,1,1
Spotx850,0,0,1,0,0,0,0,0,0
Spotx851,1,1,1,0,1,0,0,0,0
Spotx852,1,1,1,1,1,1,1,1,1
Spotx853,0,0,0,0,0,0,0,1,1
Spotx854,1,1,1,0,1,0,1,1,0
Spotx855,0,1,1,0,0,1,1,0,0
Spotx856,0,0,0,0,0,0,1,0,0
Spotx857,0,1,1,0,0,1,0,0,0
Spotx858,0,0,0,0,1,0,0,1,1
Spotx859,1,1,0,1,0,1,1,0,0
Spotx860,0,0,0,1,0,0,1,0,0
Spotx861,0,1,0,1,0,1,0,0,0
Spotx862,0,1,1,0,0,0,1,0,0
Spotx863,0,0,0,1,0,0,0,1,0
Spotx864,0,1,0,0,0,0,0,0,0
Spotx865,0,1,0,0,0,0,0,1,1
Spotx866,0,0,0,0,0,1,0,0,0
Spotx867,1,0,1,0,0,1,1,0,0
Spotx868,0,0,1,1,0,0,0,0,0
Spotx869,0,1,0,1,1,1,0,0,1
Spotx870,0,0,0,0,0,1,0,0,1
Spotx871,0,1,0,0,0,0,0,1,1
Spotx872,0,0,0,1,0,0,0,0,0
Spotx873,0,0,1,0,0,0,1,1,1
Spotx874,0,1,0,1,0,0,0,0,0
Spotx875,1,1,0,1,1,0,0,1,1
Spotx876,1,1,0,0,0,1,1,0,1
Spotx877,0,1,0,0,0,0,0,0,0
Spotx878,0,0,0,0,0,1,0,0,0
Spotx879,1,0,0,0,1,0,1,1,1
Spotx880,0,0,1,1,1,1,1,0,0
Spotx881,0,1,0,0,0,0,0,0,0
Spotx882,1,1,0,0,1,0,0,0,0
Spotx883,0,1,1,0,0,0,1,0,1
Spotx884,1,0,0,1,1,0,0,1,1
Spotx885,1,1,0,1,0,0,0,1,0
Spotx886,0,0,0,0,1,0,0,0,0
Spotx887,0,1,1,0,1,1,1,1,0
Spotx888,1,1,1,0,1,0,1,1,1
Spotx889,0,1,0,0,0,0,0,0,1
Spotx890,0,0,1,0,0,0,0,0,0
Spotx891,1,1,0,1,0,0,1,1,0
Spotx892,0,0,0,0,0,1,0,1,1
Spotx893,1,0,0,1,0,1,0,0,0
Spotx894,0,0,1,1,0,0,1,1,1
Spotx895,0,0,1,0,1,1,1,0,0
Spotx896,0,0,0,0,1,0,0,0,0
Spotx897,1,1,0,1,0,0,1,1,1
Spotx898,1,0,1,1,1,1,0,0,1
Spotx899,1,0,0,0,0,1,1,1,1
Spotx900,0,0,0,1,0,0,1,0,1
Spotx901,1,0,0,0,1,1,0,0,0
Spotx902,0,0,1,0,0,0,0,1,0
Spotx903,1,0,1,1,1,0,0,1,1
Spotx904,1,0,1,0,0,1,0,1,0
Spotx905,0,1,1,0,0,1,1,1,0
Spotx906,0,0,1,1,0,1,1,0,0
Spotx907,1,0,1,0,0,0,0,0,0
Spotx908,0,1,1,1,1,1,0,1,0
Spotx909,0,1,1,0,1,0,0,0,0
Spotx910,0,1,0,1,0,1,1,1,1
Spotx911,0,0,1,0,1,1,1,1,1
Spotx912,0,0,0,0,1,0,0,0,0
Spotx913,1,0,1,0,0,1,0,1,1
Spotx914,0,0,0,0,0,0,0,0,1
Spotx915,0,1,0,0,1,0,0,1,0
Spotx916,1,0,0,1,0,1,0,0,0
Spotx917,1,1,0,1,0,0,1,1,1
Spotx918,1,0,1,1,1,0,1,1,0
Spotx919,0,1,0,1,1,0,1,0,1
Spotx920,0,0,0,1,0,0,0,0,0
Spotx921,1,1,1,1,0,1,1,0,0
Spotx922,1,1,1,0,1,1,1,1,0
Spotx923,0,0,0,0,1,0,0,0,0
Spotx924,1,1,0,0,0,0,1,0,1
Spotx925,0,1,0,0,1,1,0,0,1
Spotx926,1,0,1,0,0,0,1,1,0
Spotx927,1,0,0,0,0,1,1,0,0
Spotx928,0,1,0,1,1,0,1,0,1
Spotx929,0,0,0,1,0,1,0,0,0
Spotx930,1,0,1,1,0,0,0,0,0
Spotx931,1,0,0,1,0,1,0,1,1
Spotx932,0,0,0,0,0,0,0,1,1
Spotx933,0,0,0,0,0,1,1,0,1
Spotx934,0,1,1,0,0,0,0,0,0
Spotx935,1,1,1,0,1,1,1,0,1
Spotx936,1,1,0,1,0,0,0,0,0
Spotx937,1,1,0,0,0,0,0,1,1
Spotx938,0,0,0,1,0,0,0,0,0
Spotx939,1,0,1,1,1,1,1,0,1
Spotx940,0,1,0,0,1,1,0,0,0
Spotx941,1,1,0,1,0,1,1,1,1
Spotx942,1,1,0,0,0,1,1,1,0
Spotx943,1,1,1,0,1,1,1,0,0
Spotx944,1,0,0,0,1,1,0,0,0
Spotx945,0,1,0,0,1,0,0,0,0
Spotx946,0,0,1,1,0,0,0,0,1
Spotx947,1,0,1,0,0,1,1,0,0
Spotx948,0,0,1,0,0,0,0,0,0
Spotx949,0,0,1,0,1,1,1,1,1
Spotx950,0,0,0,1,0,1,0,0,0
Spotx951,0,0,0,0,0,0,1,0,1
Spotx952,1,1,1,1,1,0,1,0,0
Spotx953,0,0,0,0,0,0,1,0,0
Spotx954,0,0,1,0,0,0,0,1,1
Spotx955,0,1,1,0,0,1,0,0,0
Spotx956,0,1,0,1,0,0,1,0,1
Spotx957,1,0,0,0,0,1,0,0,0
Spotx958,0,0,0,1,1,0,1,0,0
Spotx959,1,1,0,1,0,0,1,1,0
Spotx960,0,1,1,1,0,1,0,1,1
Spotx961,1,0,1,0,0,0,1,0,1
Spotx962,1,1,0,0,0,0,0,0,0
Spotx963,1,1,0,0,0,0,0,1,1
Spotx964,1,1,0,0,1,1,0,0,0
Spotx965,1,0,0,0,0,0,0,1,0
Spotx966,0,0,0,0,1,1,1,1,1
Spotx967,0,1,1,1,1,1,0,1,1
Spotx968,0,0,0,0,1,0,0,0,1
Spotx969,1,0,1,1,0,0,0,1,1
Spotx970,0,1,0,0,0,0,0,1,0
Spotx971,1,0,1,1,1,0,0,1,1
Spotx972,1,1,1,1,0,0,0,0,1
Spotx973,0,1,0,1,1,1,0,0,1
Spotx974,0,1,1,1,0,1,1,1,0
Spotx975,0,1,1,0,1,0,0,0,0
Spotx976,1,0,0,0,1,0,0,0,0
Spotx977,0,0,0,1,1,1,1,0,0
Spotx978,0,1,1,0,0,0,0,1,1
Spotx979,0,0,0,0,0,1,0,0,1
Spotx980,1,1,1,0,1,0,1,0,0
Spotx981,0,0,1,0,0,1,1,1,1
Spotx982,1,1,0,0,0,0,1,0,0
Spotx983,1,1,0,0,0,1,0,0,1
Spotx984,1,1,0,1,0,0,1,1,0
Spotx985,0,1,0,0,1,0,1,1,1
Spotx986,1,0,1,0,1,1,0,1,1
Spotx987,0,0,0,0,1,0,0,1,0
Spotx988,0,0,0,0,0,0,0,0,1
Spotx989,1,1,0,0,1,0,0,1,0
Spotx990,0,0,0,0,1,0,0,0,0
Spotx991,0,0,1,1,1,0,0,0,0
Spotx992,1,1,0,1,0,1,0,1,1
Spotx993,1,0,0,0,1,0,1,1,1
Spotx994,1,1,0,1,1,1,1,0,1
Spotx995,1,1,0,0,0,0,1,0,0
Spotx996,1,1,1,1,1,1,1,0,1
Spotx997,1,0,0,0,1,0,1,0,0
Spotx998,0,0,0,0,0,1,0,0,0
Spotx999,0,1,0,1,1,0,0,1,0
Spotx1000,1,1,1,0,0,0,0,0,1
Spotx1001,0,0,0,1,0,1,0,1,1
Spotx1002,0,0,1,1,0,1,0,1,0
Spotx1003,1,0,1,0,0,1,0,0,1
Spotx1004,0,1,0,0,1,0,1,0,0
Spotx1005,1,0,0,0,0,0,0,1,1
Spotx1006,0,0,1,1,0,0,1,1,0
Spotx1007,1,1,0,0,0,0,0,1,0
Spotx1008,0,1,0,1,1,1,1,0,1
Spotx1009,0,0,0,1,0,1,0,0,0
Spotx1010,1,0,0,0,0,0,1,0,1
Spotx1011,0,1,1,1,0,1,1,0,0
Spotx1012,1,0,1,1,1,1,1,1,1
Spotx1013,0,1,1,1,1,1,0,1,1
Spotx1014,0,1,0,0,0,1,1,1,0
Spotx1015,0,0,0,1,0,1,1,0,1
Spotx1016,0,1,0,0,0,1,0,0,0
Spotx1017,1,0,0,0,0,0,0,0,0
Spotx1018,0,1,0,1,1,0,0,1,0
Spotx1019,1,0,0,0,0,0,0,0,1
Spotx1020,1,0,1,0,0,0,0,0,0
Spotx1021,1,0,0,0,1,0,1,1,0
Spotx1022,0,0,0,0,1,1,0,0,1
Spotx1023,0,1,0,0,0,0,1,0,0
Spotx1024,0,0,1,1,1,1,0,1,1
Spotx1025,0,0,0,1,0,0,0,0,0
Spotx1026,1,1,0,0,1,0,1,0,0
Spotx1027,0,0,1,0,0,1,1,1,0
Spotx1028,0,1,1,1,0,0,0,0,0
Spotx1029,0,0,0,1,1,1,0,1,1
Spotx1030,1,0,1,0,0,0,1,1,0
Spotx1031,1,1,0,0,1,1,1,1,1
Spotx1032,1,0,1,0,0,0,0,0,0
Spotx1033,0,0,0,0,1,1,0,1,0
Spotx1034,1,1,0,1,0,0,1,0,0
Spotx1035,1,1,1,0,0,1,0,0,1
Spotx1036,0,0,0,1,0,1,0,1,0
Spotx1037,1,1,0,0,0,0,0,1,0
Spotx1038,1,1,0,0,0,0,1,0,1
Spotx1039,0,1,0,1,0,0,0,1,0
Spotx1040,1,1,1,1,1,0,1,0,1
Spotx1041,1,0,1,0,0,0,0,1,1
Spotx1042,1,1,0,1,0,0,1,1,0
Spotx1043,0,1,1,1,1,1,1,1,1
Spotx1044,0,0,1,0,0,0,1,0,1
Spotx1045,1,1,0,1,1,0,0,1,0
Spotx1046,1,1,0,0,1,1,0,0,1
Spotx1047,0,1,1,1,1,0,1,1,0
Spotx1048,0,1,0,0,0,0,0,1,0
Spotx1049,1,1,0,0,0,1,1,0,0
Spotx1050,0,1,0,1,1,1,0,0,0
Spotx1051,0,0,0,1,0,0,1,1,1
Spotx1052,1,0,1,0,1,1,1,1,0
Spotx1053,1,1,0,0,1,1,1,0,0
Spotx1054,0,0,0,0,0,0,1,0,0
Spotx1055,1,1,1,1,1,1,0,1,0
Spotx1056,0,1,0,1,1,1,0,1,0
Spotx1057,1,1,0,0,1,1,0,0,0
Spotx1058,0,0,1,1,1,0,0,0,1
Spotx1059,0,0,0,1,0,1,0,0,0
Spotx1060,0,0,0,1,0,0,0,0,1
Spotx1061,1,1,1,0,0,1,0,0,0
Spotx1062,1,0,0,1,1,0,0,1,0
Spotx1063,0,0,0,0,0,1,0,0,0
Spotx1064,1,0,1,0,1,0,1,0,1
Spotx1065,0,1,0,0,0,0,0,0,1
Spotx1066,1,0,0,0,1,0,1,1,0
Spotx1067,0,1,1,1,0,0,1,0,0
Spotx1068,0,0,1,1,1,1,0,1,0
Spotx1069,1,0,0,0,0,0,0,0,0
Spotx1070,0,0,0,0,0,1,0,0,0
Spotx1071,1,0,1,1,1,0,1,1,0
Spotx1072,0,1,0,0,0,1,0,0,0
Spotx1073,0,0,0,1,0,0,0,1,1
Spotx1074,0,0,0,1,0,1,0,1,0
Spotx1075,0,1,1,0,0,0,0,0,0
Spotx1076,1,0,0,1,1,0,1,0,0
Spotx1077,0,0,0,0,0,1,1,0,0
Spotx1078,0,0,0,1,0,0,1,0,1
Spotx1079,1,0,0,1,0,1,0,0,1
Spotx1080,1,0,1,0,1,0,1,0,0
Spotx1081,0,1,1,0,1,1,0,1,0
Spotx1082,1,0,1,1,1,1,1,0,1
Spotx1083,0,0,1,0,0,0,0,0,0
Spotx1084,1,1,1,1,0,1,0,1,1
Spotx1085,0,1,1,0,1,0,1,0,1
Spotx1086,1,1,1,1,1,1,0,0,1
Spotx1087,1,1,0,1,1,0,1,0,0
Spotx1088,1,0,1,0,1,0,1,1,1
Spotx1089,0,1,0,0,1,0,0,0,0
Spotx1090,0,0,0,1,0,0,1,0,1
Spotx1091,1,0,0,0,1,1,0,0,0
Spotx1092,0,1,1,1,1,0,0,0,0
Spotx1093,0,1,1,1,0,1,1,1,1
Spotx1094,1,0,1,1,1,1,1,1,1
Spotx1095,1,1,0,0,0,0,0,0,0
Spotx1096,1,0,0,0,0,0,0,1,1
Spotx1097,0,1,1,0,0,1,0,0,0
Spotx1098,1,0,0,0,0,0,0,1,0
Spotx1099,0,0,0,1,0,1,0,1,0
Spotx1100,0,1,1,1,1,0,1,1,0
Spotx1101,0,0,0,0,1,0,0,0,1
Spotx1102,1,0,1,1,0,0,0,1,1
Spotx1103,1,0,0,0,0,0,0,0,0
Spotx1104,0,1,1,0,0,0,0,1,0
Spotx1105,1,1,1,0,1,1,1,1,1
Spotx1106,1,1,0,1,0,1,0,1,0
Spotx1107,1,1,0,0,0,0,0,0,1
Spotx1108,1,0,1,0,1,0,1,0,0
Spotx1109,1,0,0,0,1,0,0,1,0
Spotx1110,0,1,1,1,0,1,0,1,1
Spotx1111,1,0,0,0,1,1,0,0,1
Spotx1112,0,1,1,0,0,1,1,1,1
Spotx1113,0,0,0,0,1,0,0,0,0
Spotx1114,0,0,0,0,0,0,1,0,0
Spotx1115,0,1,0,1,0,0,0,0,0
Spotx1116,0,1,0,1,0,0,1,0,0
Spotx1117,0,1,0,0,0,0,1,0,1
Spotx1118,1,0,0,1,0,0,0,1,0
Spotx1119,0,1,1,0,0,0,1,0,1
Spotx1120,0,1,0,0,0,0,0,0,0
Spotx1121,0,1,1,1,1,1,0,0,1
Spotx1122,0,1,1,1,1,0,0,1,1
Spotx1123,1,0,0,0,1,1,1,1,0
Spotx1124,1,1,1,1,1,1,1,0,0
Spotx1125,1,0,0,0,1,0,1,0,0
Spotx1126,1,1,0,0,0,1,1,0,0
Spotx1127,1,1,1,0,1,1,1,0,1
Spotx1128,1,0,1,1,0,1,0,0,0
Spotx1129,0,1,0,0,0,0,1,0,1
Spotx1130,1,1,0,0,0,0,1,1,0
Spotx1131,1,0,1,1,0,1,1,0,1
Spotx1132,0,1,1,0,0,1,0,0,1
Spotx1133,1,1,0,1,0,0,0,1,0
Spotx1134,0,1,0,0,0,0,0,0,1
Spotx1135,0,0,0,1,0,0,0,0,0
Spotx1136,1,1,1,1,1,1,1,0,1
Spotx1137,0,1,0,1,1,1,0,1,1
Spotx1138,0,0,0,1,0,0,1,0,0
Spotx1139,0,0,1,0,1,0,1,0,1
Spotx1140,1,1,0,1,1,1,1,1,1
Spotx1141,0,0,1,1,0,0,0,0,0
Spotx1142,0,1,1,0,0,0,0,0,0
Spotx1143,0,1,0,0,0,0,1,0,1
Spotx1144,0,0,0,1,0,0,1,0,0
Spotx1145,0,0,1,0,1,1,0,1,0
Spotx1146,1,0,0,0,0,0,1,0,0
Spotx1147,0,0,1,1,0,0,0,0,1
Spotx1148,0,0,0,0,1,0,0,0,0
Spotx1149,0,0,0,0,1,0,0,0,0
Spotx1150,1,1,0,0,0,0,0,0,0
Spotx1151,0,1,0,0,0,0,0,0,0
Spotx1152,0,0,0,0,0,0,1,0,1
